index	firstName	LastName	Birthday	Age	Gender	Height	MaxHeight	IQ	Education	Cash	Stamina	Job	Status	LifeSpan	Reproduction	SpouseName	Married	ChildrenNumber
21	ehagta	yih	1399076920878	44.43789	male	0	168	93	COLLEGE	1012820	100	farmer	working	83.0	2	kqswoytv	true	0
22	qdghmorcl	hvoywe	1399076920878	44.43789	female	0	187	103	COLLEGE	785220	100	cashier	working	91.0	2	neh	true	3
23	homfmtxs	zrccx	1399076920878	44.43789	male	0	174	110	COLLEGE	1200590	100	IT	working	68.0	1	zaitdetvm	true	0
24	ccs	kqswoytv	1399076920878	44.43789	female	0	162	93	COLLEGE	529170	100	pan-handle	working	73.0	1	ftfif	true	2
25	kgmu	wdqs	1399076920878	44.43789	male	0	185	86	COLLEGE	938850	100	farmer	working	76.0	2	ldrpmadvz	true	0
26	cln	amzcy	1399076920878	44.437782	female	0	178	93	COLLEGE	529170	100	pan-handle	working	73.0	0	dqyqpm	true	1
27	soswjrvnn	pge	1399076920878	44.437782	male	0	158	93	COLLEGE	705560	100	cashier	working	88.0	2	xluo	true	0
28	hlbetda	gcjffqwet	1399076920878	44.438053	female	0	183	89	COLLEGE	967300	100	farmer	working	82.0	2	none	false	0
29	mnr	xpgzqlgbw	1399076920878	44.438053	female	0	185	81	COLLEGE	614520	100	cashier	working	61.0	1	hrinidxvd	true	2
30	drrrkv	uuuwjuhq	1399076920878	44.438053	male	0	173	110	COLLEGE	836430	100	cashier	working	76.0	2	jpouaal	true	0
31	hxyafb	fkexbzjt	1399076920878	44.438053	female	0	188	87	COLLEGE	950230	100	farmer	working	99.0	0	yumssjjjb	true	1
32	pqklfk	afiwbfyrg	1399076920878	44.438053	female	0	177	90	COLLEGE	682800	100	cashier	working	58.0	3	none	false	0
33	didf	fnrzzgbi	1399076920879	44.43789	male	0	178	99	COLLEGE	751080	100	cashier	working	82.0	2	fvktfaocu	true	0
34	apgge	kkkf	1399076920879	44.43789	female	0	173	92	COLLEGE	1001440	100	farmer	working	78.0	0	hxkp	true	1
35	uql	ipgrpc	1399076920879	44.43789	male	0	176	96	COLLEGE	546240	100	pan-handle	working	101.0	1	keekhidxx	true	0
36	sbrkzvt	zueeswly	1399076920879	44.437782	male	0	180	124	COLLEGE	944540	100	cashier	working	63.0	3	xcbv	true	0
37	lmodplqr	ldrpmadvz	1399076920879	44.437782	female	0	170	137	GRADUATE	1119328	100	IT	working	69.0	3	wdqs	true	4
38	zxngyioqz	esktqre	1399076920879	44.4377	male	0	180	99	COLLEGE	563310	100	pan-handle	working	96.0	1	ygwxmixgj	true	0
39	shwy	dyfmqghw	1399076920879	44.437588	male	0	179	101	COLLEGE	574690	100	pan-handle	working	92.0	0	svlzr	true	0
40	tief	lnhy	1399076920879	44.437782	male	0	159	100	COLLEGE	569000	100	pan-handle	working	49.0	0	chtalz	true	0
41	izr	jxmxst	1399076920879	44.437782	female	0	183	88	COLLEGE	665730	100	cashier	working	55.0	1	qsuqaxqu	true	2
42	ygrwjy	zaitdetvm	1399076920879	44.437782	female	0	179	91	COLLEGE	990060	100	farmer	working	77.0	2	itf	true	3
43	hbblvmwq	vcbipxbvp	1399076920879	44.437782	male	0	177	95	COLLEGE	722630	100	cashier	working	82.0	0	fvktfaocu	true	0
44	rquxqg	ztqvcytjf	1399076920879	44.437782	male	0	183	86	COLLEGE	654350	100	cashier	working	46.0	0	tji	true	0
45	gnqliqxd	oszbpd	1399076920879	44.438084	female	0	181	94	COLLEGE	534860	100	pan-handle	working	77.0	2	none	false	0
46	kmwn	czkt	1399076920879	44.438084	male	0	166	82	COLLEGE	466580	100	pan-handle	working	94.0	2	fvktfaocu	true	0
47	ezgtvyqwp	xkhbaj	1399076920879	44.438	female	0	174	116	COLLEGE	660040	100	pan-handle	working	63.0	1	rzcodjf	true	2
48	oxoyrixtn	twbahw	1399076920879	44.437782	female	0	179	99	COLLEGE	751080	100	cashier	working	90.0	0	cqmx	true	1
49	wigsdzr	eukekw	1399076920879	44.43775	female	0	185	76	COLLEGE	432440	100	pan-handle	working	95.0	1	tiv	true	2
50	vmekk	neh	1399076920879	44.437645	male	0	167	78	COLLEGE	443820	100	pan-handle	working	81.0	1	hvoywe	true	0
51	znsgwik	zly	1399076920879	44.437645	male	0	168	109	COLLEGE	620210	100	pan-handle	working	80.0	2	xcbv	true	0
52	ktsto	jpouaal	1399076920880	44.437946	female	0	173	131	GRADUATE	1710912	100	scientist	working	101.0	2	jhf	true	3
53	voq	itf	1399076920880	44.437946	male	0	176	92	COLLEGE	1001440	100	farmer	working	70.0	2	zaitdetvm	true	0
54	yps	jhf	1399076920880	44.437946	male	0	173	102	COLLEGE	773840	100	cashier	working	59.0	1	jpouaal	true	0
55	lalcyrcu	vaepqwp	1399076920880	44.438084	female	0	168	96	COLLEGE	1046960	100	farmer	working	94.0	1	ssjbazops	true	2
56	qtooyud	svlzr	1399076920880	44.438084	female	0	167	102	COLLEGE	773840	100	cashier	working	74.0	0	ugdhrt	true	1
57	ptyqtdkez	xdwhsfbbx	1399076920880	44.438084	female	0	178	109	COLLEGE	620210	100	pan-handle	working	102.0	1	none	false	0
58	nss	kradjiyx	1399076920880	44.437946	female	0	179	119	COLLEGE	1297320	100	IT	working	104.0	2	urux	true	3
59	yih	chtalz	1399076920880	44.437946	female	0	173	105	COLLEGE	1143690	100	farmer	working	93.0	2	lnhy	true	3
60	cvihv	urux	1399076920880	44.437946	male	0	179	104	COLLEGE	790910	100	cashier	working	62.0	0	kradjiyx	true	0
61	bbrts	ytwwpvu	1399076920880	44.437946	female	0	173	94	COLLEGE	1024200	100	farmer	working	96.0	2	yjf	true	3
62	wmao	ruifel	1399076920880	44.438248	male	0	184	93	COLLEGE	1012820	100	farmer	working	76.0	1	ytwwpvu	true	0
63	yskimvbk	qoz	1399076920880	44.438385	male	0	186	90	COLLEGE	978680	100	farmer	working	91.0	1	szfzv	true	0
64	jfzmhokh	xnlc	1399076920880	44.43885	male	0	180	102	COLLEGE	580380	100	pan-handle	working	91.0	2	ytwwpvu	true	0
65	iewzbuf	uyqne	1399076920880	44.438686	female	0	191	88	COLLEGE	500720	100	pan-handle	working	53.0	0	epes	true	1
66	fsb	cbtacvncd	1399076920880	44.438686	male	0	178	106	COLLEGE	603140	100	pan-handle	working	86.0	1	uyqne	true	0
67	hpxsfbr	szh	1399076920880	44.438904	female	0	183	106	COLLEGE	1155070	100	farmer	working	96.0	2	none	false	0
68	wqugqkzq	xluo	1399076920880	44.438686	female	0	176	89	COLLEGE	506410	100	pan-handle	working	76.0	0	pge	true	1
69	vydpqmc	hxuflwbmz	1399076920880	44.438686	female	0	175	103	COLLEGE	1120930	100	farmer	working	85.0	2	none	false	0
70	xegjjne	ssjbazops	1399076920880	44.438988	male	0	167	116	COLLEGE	881950	100	cashier	working	50.0	3	vaepqwp	true	0
71	pqylf	lxhwfbzt	1399076920881	44.43929	male	0	156	76	COLLEGE	432440	100	pan-handle	working	75.0	1	jxmxst	true	0
72	lzkedrl	kznvuhl	1399076920881	44.43929	female	0	169	93	COLLEGE	529170	100	pan-handle	working	106.0	0	none	false	0
73	axebqpv	dmr	1399076920881	44.43929	female	0	178	106	COLLEGE	807980	100	cashier	working	77.0	0	none	false	0
74	jttq	tji	1399076920881	44.43929	female	0	179	101	COLLEGE	768150	100	cashier	working	76.0	1	ztqvcytjf	true	2
75	wumv	oixwelqtn	1399076920881	44.43929	female	0	180	79	COLLEGE	449510	100	pan-handle	working	88.0	2	none	false	0
76	fpo	nhziitc	1399076920881	44.43929	female	0	182	106	COLLEGE	603140	100	pan-handle	working	66.0	1	ezen	true	2
77	yowsgr	szfzv	1399076920881	44.439396	female	0	167	75	COLLEGE	426750	100	pan-handle	working	79.0	2	qoz	true	3
78	gda	usoukmsp	1399076920881	44.439396	male	0	173	96	COLLEGE	546240	100	pan-handle	working	73.0	3	cgopzap	true	0
79	bwlyyglta	tzmvum	1399076920881	44.43959	male	0	167	95	COLLEGE	1035580	100	farmer	working	52.0	3	xluo	true	0
80	cknsujd	flulyjkle	1399076920881	44.439396	female	0	166	112	COLLEGE	853500	100	cashier	working	71.0	1	none	false	0
81	lbxnzm	rgmagzt	1399076920881	44.439396	female	0	165	97	COLLEGE	551930	100	pan-handle	working	72.0	1	iktbqic	true	2
82	lxdn	lzl	1399076920881	44.43959	female	0	181	106	COLLEGE	1155070	100	farmer	working	93.0	1	none	false	0
83	ueuctary	fzurjjv	1399076920881	44.43959	male	0	180	83	COLLEGE	631590	100	cashier	working	65.0	0	rgmagzt	true	0
84	mtsnci	pyechkgr	1399076920881	44.43959	male	0	173	69	COLLEGE	392610	100	pan-handle	working	76.0	3	zmskfd	true	0
85	qkwh	fxk	1399076920881	44.43959	male	0	184	81	COLLEGE	460890	100	pan-handle	working	77.0	1	kpbindb	true	0
86	higg	yumssjjjb	1399076920881	44.43959	male	0	181	82	COLLEGE	466580	100	pan-handle	working	78.0	2	fkexbzjt	true	0
87	tium	ezen	1399076920881	44.43959	male	0	178	105	COLLEGE	597450	100	pan-handle	working	70.0	1	nhziitc	true	0
88	jvjyy	dsp	1399076920881	44.43959	female	0	178	100	COLLEGE	569000	100	pan-handle	working	63.0	3	oayems	true	4
89	ryydxj	fvktfaocu	1399076920881	44.439396	female	0	181	94	COLLEGE	1024200	100	farmer	working	89.0	1	vcbipxbvp	true	2
90	whhaofi	iromnx	1399076920881	44.439507	male	0	175	96	COLLEGE	546240	100	pan-handle	working	74.0	2	ipvboabo	true	0
91	qzee	oayems	1399076920881	44.439507	male	0	181	78	COLLEGE	443820	100	pan-handle	working	91.0	2	dsp	true	0
92	uwiuyad	kpbindb	1399076920882	44.439507	female	0	182	92	COLLEGE	523480	100	pan-handle	working	53.0	2	fxk	true	3
93	ybc	ktinhtnvh	1399076920882	44.439507	female	0	184	89	COLLEGE	506410	100	pan-handle	working	95.0	4	none	false	0
94	wuw	woasvlhda	1399076920882	44.439396	female	0	166	85	COLLEGE	483650	100	pan-handle	working	68.0	2	none	false	0
95	izxeg	xcbv	1399076920882	44.439205	female	0	167	73	COLLEGE	415370	100	pan-handle	working	49.0	1	zly	true	2
96	apvvqhloy	qfgn	1399076920882	44.439342	male	0	179	103	COLLEGE	785220	100	cashier	working	94.0	1	kpbindb	true	0
97	ftlup	wwugshmdy	1399076920882	44.439342	female	0	173	101	COLLEGE	768150	100	cashier	working	60.0	3	cyjb	true	4
98	kuugccpm	luv	1399234151690	26.184685	female	0	178	96	COLLEGE	135424	100	cashier	working	88.0	2	pxi	true	2
99	nuzfpowz	zbax	1399234151690	26.184685	female	0	176	95	COLLEGE	192556	100	farmer	working	66.0	1	none	false	0
100	gnpwkc	kogfwa	1399234151690	26.184685	male	0	175	90	COLLEGE	95220	100	pan-handle	working	65.0	3	fzaqzwqj	true	0
101	shb	ugdhrt	1399234151690	26.184685	male	0	175	99	COLLEGE	104742	100	pan-handle	working	54.0	1	svlzr	true	0
102	qruqhrcwi	tgevb	1399234151691	26.18496	male	0	175	131	GRADUATE	0	50	none	atSchool	78.0	3	ygr	true	0
103	ojlwxnmx	vswjbie	1399234151691	26.18526	male	0	173	123	COLLEGE	173512	100	cashier	working	68.0	1	cqqknlyw	true	0
104	ylnbufes	pbak	1399234151691	26.185452	male	0	179	86	COLLEGE	174570	100	farmer	working	75.0	2	ipvboabo	true	0
105	ojy	cyjb	1399234151691	26.185562	male	0	157	130	COLLEGE	184092	100	cashier	working	88.0	2	wwugshmdy	true	0
106	axs	hrinidxvd	1399234151691	26.185562	male	0	176	100	COLLEGE	141772	100	cashier	working	80.0	2	xpgzqlgbw	true	0
107	xukfxvqi	sodcqmzk	1399234229197	26.129042	female	0	172	88	COLLEGE	177744	100	farmer	working	58.0	1	none	false	0
108	bmm	ojsvg	1399234229198	26.129042	female	0	178	118	COLLEGE	239108	100	IT	working	95.0	2	none	false	0
109	emmepj	owchvn	1399234229198	26.129042	male	0	157	100	COLLEGE	105800	100	pan-handle	working	92.0	3	dyoxsbz	true	0
110	qgqvp	vyd	1399234229198	26.129068	female	0	171	70	COLLEGE	74060	100	pan-handle	working	100.0	1	fcma	true	2
111	lmliaqbso	lyifleqj	1399234229198	26.129068	female	0	181	122	COLLEGE	247572	100	farmer	working	46.0	2	apws	true	0
112	pmxtsmo	cqqknlyw	1399234229199	26.129068	female	0	171	107	COLLEGE	113206	100	pan-handle	working	66.0	1	ndgh	true	2
113	gtp	froplyi	1399234229199	26.129068	female	0	165	110	COLLEGE	267674	100	politician	working	67.0	2	jadzhe	true	3
114	uqmdviubw	rtvqfucd	1399234229199	26.129068	female	0	179	109	COLLEGE	154468	100	cashier	working	73.0	3	none	false	0
115	tbtqyae	iktbqic	1399234229199	26.129232	male	0	184	121	COLLEGE	245456	100	farmer	working	57.0	2	rgmagzt	true	0
116	pwy	yjf	1399234259666	25.80104	male	0	178	110	COLLEGE	196863	100	farmer	working	71.0	3	ytwwpvu	true	0
117	rkaryjx	ogqe	1399234259667	25.80104	female	0	182	116	COLLEGE	144615	100	cashier	working	52.0	3	none	false	0
118	zqzag	hah	1399234259667	25.801151	female	0	176	113	COLLEGE	201528	100	farmer	working	78.0	0	none	false	0
119	cfhzptk	ftfif	1399234259667	25.801151	male	0	178	71	COLLEGE	66243	100	pan-handle	working	76.0	2	kqswoytv	true	0
120	akeuqob	medwjhy	1399234259667	25.801151	female	0	186	92	COLLEGE	114759	100	cashier	working	55.0	1	none	false	0
121	wnkihqmvt	fcma	1399234259667	25.801151	male	0	166	88	COLLEGE	109161	100	cashier	working	77.0	1	vyd	true	0
122	ahoks	qsuqaxqu	1399234259667	25.801151	male	0	182	136	GRADUATE	0	50	none	atSchool	77.0	3	jxmxst	true	0
123	kralgoe	wku	1399234259667	25.801178	female	0	172	126	COLLEGE	117558	100	pan-handle	working	85.0	1	ucivyofu	true	2
124	rnlcxm	ksuwngri	1399234259667	25.80104	female	0	173	102	COLLEGE	126888	100	cashier	working	53.0	1	none	false	0
125	uihiztk	faugtxefy	1399234259667	25.801178	female	0	172	133	GRADUATE	0	50	none	atSchool	74.0	1	none	false	0
126	wcm	upvkrihk	1399234259667	25.801342	male	0	166	109	COLLEGE	136218	100	cashier	working	47.0	4	slejimw	true	0
127	ymajicv	mnvwlzrfk	1399234259667	25.801342	female	0	172	103	COLLEGE	128754	100	cashier	working	64.0	1	sgaseyhqf	true	1
128	xeyqxnuh	ifopryd	1399234259667	25.801342	female	0	173	112	COLLEGE	239781	100	politician	working	90.0	0	khd	true	1
129	bqaoxqaaw	wxvto	1399234259667	25.801342	female	0	160	106	COLLEGE	132486	100	cashier	working	128.0	2	jbqss	true	3
130	zmtbrimj	tiv	1399234350716	24.872684	male	0	173	95	COLLEGE	117208	100	farmer	working	48.0	3	eukekw	true	0
131	mpayigfy	njmzck	1399234350717	24.872684	male	0	175	106	COLLEGE	130732	100	farmer	working	63.0	2	uyqne	true	0
132	nsi	pbcs	1399234350717	24.872684	female	0	173	97	COLLEGE	62468	100	pan-handle	working	88.0	0	none	false	0
133	vtlzsg	tiekdenv	1399234350717	24.872684	female	0	170	115	COLLEGE	99176	100	cashier	working	108.0	1	none	false	0
134	nchxjj	bqvnl	1399234350717	24.872684	female	0	169	123	COLLEGE	105616	100	cashier	working	75.0	0	ftxp	true	1
135	rkpw	vdgnl	1399234350717	24.872684	male	0	181	94	COLLEGE	80500	100	cashier	working	72.0	3	sdgqaycty	true	0
136	fpzl	epes	1399234350717	24.872684	male	0	175	96	COLLEGE	82432	100	cashier	working	62.0	0	uyqne	true	0
137	hhfadiug	dfxpqg	1399234350717	24.872684	female	0	167	112	COLLEGE	138460	100	farmer	working	94.0	1	none	false	0
138	ojggfaoe	uwqyyvv	1399234350717	24.872684	female	0	174	119	COLLEGE	146832	100	farmer	working	95.0	2	inek	true	1
139	chthxcro	ygr	1399234350717	24.872684	female	0	187	102	COLLEGE	65688	100	pan-handle	working	79.0	2	tgevb	true	3
140	nkdhubgnv	ksackbxde	1399234350717	24.872986	female	0	172	118	COLLEGE	145544	100	IT	working	57.0	1	none	false	0
141	grl	rzcodjf	1399234350717	24.872986	male	0	173	96	COLLEGE	118496	100	farmer	working	87.0	3	xkhbaj	true	0
142	rgr	jbqss	1399234350717	24.873041	male	0	175	93	COLLEGE	59892	100	pan-handle	working	95.0	1	wxvto	true	0
143	eeckhma	xynljwgc	1399234389668	24.056	male	0	165	87	COLLEGE	25050	100	farmer	working	74.0	4	ldhf	true	0
144	rilqct	gzoi	1399234389668	24.056383	female	0	168	86	COLLEGE	24750	100	farmer	working	68.0	1	none	false	0
145	inqup	ynkihuc	1399234389668	24.056494	male	0	168	111	COLLEGE	31950	100	farmer	working	66.0	0	fmuhjirvi	true	0
146	zjpxs	drltoadr	1399234389668	24.056192	male	0	169	114	COLLEGE	17100	100	pan-handle	working	79.0	1	ldhf	true	0
147	abcpgfaaw	fssrypse	1399234389668	24.056192	female	0	177	121	COLLEGE	34800	100	farmer	working	67.0	1	none	false	0
148	gnh	brpgznb	1399234389668	24.056192	male	0	174	68	COLLEGE	10200	100	pan-handle	working	85.0	1	zklpcpsi	true	0
149	ycuqm	ndgh	1399234389668	24.056192	male	0	173	78	COLLEGE	11700	100	pan-handle	working	99.0	1	cqqknlyw	true	0
150	clzdyi	axxsjxgj	1399234389668	24.056494	female	0	170	103	COLLEGE	15450	100	pan-handle	working	59.0	1	none	false	0
151	lkvivto	mfh	1399234389668	24.056494	male	0	181	101	COLLEGE	28950	100	farmer	working	58.0	2	slejimw	true	0
152	gqqbz	slejimw	1399234476236	23.733343	female	0	179	112	COLLEGE	32250	100	IT	working	86.0	2	hzmrwjxpa	true	3
153	jrzlke	ldhf	1399234476236	23.733562	female	0	164	107	COLLEGE	30750	100	farmer	working	66.0	3	drltoadr	true	4
154	dqjf	zivrs	1399234476236	23.733753	female	0	184	122	COLLEGE	35100	100	farmer	working	71.0	3	rplcek	true	1
155	xksjh	rmtnw	1399234476236	23.733946	female	0	186	69	COLLEGE	10350	100	pan-handle	working	73.0	0	lmfcgl	true	1
156	hjw	uzdjtsq	1399234476236	23.734055	female	0	170	88	COLLEGE	25200	100	farmer	working	97.0	2	evtpzkwc	true	3
157	noowfp	jvcjsi	1399234476236	23.734055	female	0	156	85	COLLEGE	16950	100	cashier	working	35.0	1	ewdbycff	true	0
158	pywrwoy	hxfrajy	1399234476236	23.734137	male	0	185	105	COLLEGE	30150	100	farmer	working	67.0	2	exmqvwefw	true	0
159	zno	mhpdjsnm	1399234476236	23.734219	female	0	173	111	COLLEGE	22200	100	cashier	working	81.0	0	none	false	0
160	jvmjxcff	rarr	1399234476236	23.734219	male	0	165	106	COLLEGE	21300	100	cashier	working	83.0	3	ldhf	true	0
161	qadn	skjnwkx	1399234476237	23.734219	female	0	175	87	COLLEGE	13050	100	pan-handle	working	96.0	2	ndi	true	1
162	ssz	jmawfefem	1399234476237	23.734219	male	0	155	73	COLLEGE	10950	100	pan-handle	working	79.0	2	wku	true	0
163	fybpil	jixda	1399234490440	23.582493	female	0	178	103	COLLEGE	15450	100	pan-handle	working	56.0	1	none	false	0
164	vdkzr	xdbx	1399234490440	23.582493	male	0	176	92	COLLEGE	26400	100	farmer	working	83.0	1	froplyi	true	0
165	ahsydzem	kndmxkzck	1399234490440	23.582493	male	0	174	92	COLLEGE	26400	100	farmer	working	72.0	1	rmtnw	true	0
166	hpy	zklpcpsi	1399234490440	23.582493	female	0	175	95	COLLEGE	14250	100	pan-handle	working	58.0	3	xpndnce	true	4
167	rgrrjof	sdgqaycty	1399234490441	23.582712	female	0	176	100	COLLEGE	28800	100	farmer	working	50.0	2	vdgnl	true	3
168	xzxo	wtahrrgt	1399234490441	23.582794	female	0	176	105	COLLEGE	21000	100	cashier	working	80.0	0	none	false	0
169	vox	byfjdqu	1399234523712	23.251753	male	0	164	101	COLLEGE	15150	100	pan-handle	working	86.0	3	ifopryd	true	0
170	gvd	ded	1399234540416	22.970438	female	0	177	100	COLLEGE	15000	100	pan-handle	working	48.0	0	vbppf	true	1
171	mwy	mhuqfica	1399234540417	22.970438	female	0	189	94	COLLEGE	18750	100	cashier	working	76.0	1	wkajdcisx	true	2
172	vkaawb	fmuhjirvi	1399234618962	22.870876	female	0	180	123	COLLEGE	18450	100	pan-handle	working	71.0	2	ijmoowp	true	3
173	dgoz	lwrrnqu	1399234618962	22.870876	female	0	195	113	COLLEGE	32400	100	IT	working	61.0	0	none	false	0
174	avazvypyt	thgpdlob	1399234661258	22.07033	female	0	182	83	COLLEGE	0	100	none	wake	70.0	5	stvecpneq	true	6
175	wdselsnpv	jadzhe	1399235252937	20.504904	male	0	158	85	COLLEGE	0	50	none	atSchool	84.0	1	froplyi	true	0
176	eazmyy	eckp	1399235252938	20.504904	female	0	179	92	COLLEGE	0	50	none	atSchool	56.0	2	xidjbfu	true	2
177	srlhcvn	lmfcgl	1399235252938	20.504904	male	0	172	91	COLLEGE	0	50	none	atSchool	80.0	2	rmtnw	true	0
178	sgwxowe	nrrbxfyyh	1399235252938	20.504986	male	0	162	81	COLLEGE	0	50	none	atSchool	70.0	0	vuw	true	0
179	smukkqun	yrbe	1399235252938	20.504986	female	0	177	106	COLLEGE	0	50	none	atSchool	52.0	1	none	false	0
180	joes	mssbvz	1399235252938	20.504986	male	0	184	102	COLLEGE	0	50	none	atSchool	70.0	0	uzdjtsq	true	0
181	btuxi	stvecpneq	1399235252938	20.505123	male	0	167	117	COLLEGE	0	50	none	atSchool	102.0	2	thgpdlob	true	0
182	blnskn	dscodzt	1399235252938	20.505123	female	0	174	89	COLLEGE	0	50	none	atSchool	68.0	2	qofg	true	1
183	gwgkfuw	oxiwgu	1399235252938	20.505123	female	0	168	106	COLLEGE	0	50	none	atSchool	81.0	3	pkpsshjs	true	4
184	jkdxr	vlzdkl	1399235252938	20.505205	female	0	178	115	COLLEGE	0	50	none	atSchool	72.0	4	none	false	0
185	nhclqvsri	ansh	1399235252938	20.505205	female	0	175	101	COLLEGE	0	50	none	atSchool	65.0	0	none	false	0
186	sjcrwlhj	ihqeyobz	1399235252938	20.505205	female	0	159	121	COLLEGE	0	50	none	atSchool	71.0	2	avcdb	true	3
187	oyehuyrq	cudl	1399235252938	20.505205	female	0	186	73	COLLEGE	0	50	none	atSchool	65.0	2	none	false	0
188	sexfp	crik	1399235252938	20.505205	female	0	184	95	COLLEGE	0	50	none	atSchool	69.0	3	none	false	0
189	ekhrymqb	virffxv	1399235252938	20.505205	female	0	169	106	COLLEGE	0	50	none	atSchool	83.0	2	none	false	0
190	kps	vuw	1399235252938	20.505205	female	0	172	111	COLLEGE	0	50	none	atSchool	78.0	1	nrrbxfyyh	true	2
191	jlmnw	fqokcovw	1399235252938	20.505287	female	0	170	82	COLLEGE	0	50	none	atSchool	54.0	1	none	false	0
192	ppui	pkpsshjs	1399235252938	20.505287	male	0	174	96	COLLEGE	0	50	none	atSchool	47.0	0	oxiwgu	true	0
193	lndrf	bbsizq	1399235252938	20.505287	male	0	166	109	COLLEGE	0	50	none	atSchool	90.0	2	ihqeyobz	true	0
194	auqjeqorj	asmq	1399235252938	20.505287	female	0	189	109	COLLEGE	0	50	none	atSchool	71.0	3	none	false	0
195	flxls	cpteuwi	1399237046646	19.047562	female	0	177	95	COLLEGE	0	50	none	atSchool	95.0	1	gqe	true	2
196	sjqd	xidjbfu	1399237046646	19.047562	male	0	179	102	COLLEGE	0	50	none	atSchool	102.0	2	eckp	true	0
197	ymacfd	ciro	1399237046646	19.047562	male	0	173	118	COLLEGE	0	50	none	atSchool	77.0	2	fyttcsv	true	0
198	kuk	vqfjj	1399237046646	19.047562	female	0	171	116	COLLEGE	0	50	none	atSchool	81.0	1	none	false	0
199	bkj	omx	1399237046646	19.047562	male	0	179	110	COLLEGE	0	50	none	atSchool	75.0	2	iqwzv	true	0
200	gygunisw	ewdbycff	1399237046646	19.047726	male	0	180	97	COLLEGE	0	50	none	atSchool	98.0	2	jvcjsi	true	0
201	erxoemab	ctowa	1399237046646	19.047808	male	0	167	96	COLLEGE	0	50	none	atSchool	83.0	2	ubfpgrhz	true	0
202	nqgennk	stdqbicy	1399237046646	19.047808	male	0	162	114	COLLEGE	0	50	none	atSchool	68.0	1	guipwwjo	true	0
203	fny	rppt	1399237046646	19.047808	male	0	177	122	COLLEGE	0	50	none	atSchool	65.0	1	bpzoi	true	0
204	rrdw	hyghmdr	1399237046646	19.047808	female	0	179	96	COLLEGE	0	50	none	atSchool	95.0	2	none	false	0
205	ungk	znkexhjp	1399237046647	19.047808	female	0	174	100	COLLEGE	0	50	none	atSchool	54.0	1	none	false	0
206	mywdpbv	dkylc	1399237046647	19.047808	female	0	173	100	COLLEGE	0	50	none	atSchool	95.0	2	none	false	0
